French,English
partie,part
chercher,search
seulement,only
police,police
aide,help
mois,month
frère,brother
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
arrivé,come
bébé,baby
longtemps,long time
vont,will
pendant,while
aucune,any
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
affaire,case
donner,give
leurs,their
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tellement,so much
point,point
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
